"DateTime","Ensemble ET","Precip (gridMET)",
"2024-01-01 00:00:00",1.272,0,
"2024-01-02 00:00:00",1.022,19.6,
"2024-01-03 00:00:00",0.642,0,
"2024-01-04 00:00:00",0.558,7.7,
"2024-01-05 00:00:00",0.345,1.7,
"2024-01-06 00:00:00",0.866,0,
"2024-01-07 00:00:00",0.913,2.3,
"2024-01-08 00:00:00",0.655,7.5,
"2024-01-09 00:00:00",1.008,0,
"2024-01-10 00:00:00",1.496,0,
"2024-01-11 00:00:00",1.149,3.5,
"2024-01-12 00:00:00",0.444,0,
"2024-01-13 00:00:00",1.336,0,
"2024-01-14 00:00:00",0.313,0.5,
"2024-01-15 00:00:00",0.224,0,
"2024-01-16 00:00:00",0.631,0,
"2024-01-17 00:00:00",0.86,0,
"2024-01-18 00:00:00",1.453,0,
"2024-01-19 00:00:00",0.729,0,
"2024-01-20 00:00:00",0.804,0,
"2024-01-21 00:00:00",0.83,11,
"2024-01-22 00:00:00",0.77,53.2,
"2024-01-23 00:00:00",0.627,36.3,
"2024-01-24 00:00:00",0.245,8.6,
"2024-01-25 00:00:00",0.439,0,
"2024-01-26 00:00:00",0.429,2.4,
"2024-01-27 00:00:00",0.266,0,
"2024-01-28 00:00:00",0.742,0,
"2024-01-29 00:00:00",0.941,0,
"2024-01-30 00:00:00",1.022,0,
"2024-01-31 00:00:00",0.995,0,
"2024-02-01 00:00:00",1.035,0,
"2024-02-02 00:00:00",0.844,18.9,
"2024-02-03 00:00:00",0.599,0,
"2024-02-04 00:00:00",0.703,1.2,
"2024-02-05 00:00:00",0.829,0,
"2024-02-06 00:00:00",0.774,0,
"2024-02-07 00:00:00",0.999,0,
"2024-02-08 00:00:00",0.75,0,
"2024-02-09 00:00:00",0.672,0.4,
"2024-02-10 00:00:00",0.274,34.1,
"2024-02-11 00:00:00",0.288,5.4,
"2024-02-12 00:00:00",0.576,0,
"2024-02-13 00:00:00",0.53,0,
"2024-02-14 00:00:00",0.634,0,
"2024-02-15 00:00:00",0.565,0,
"2024-02-16 00:00:00",0.481,0,
"2024-02-17 00:00:00",0.385,0,
"2024-02-18 00:00:00",0.399,0,
"2024-02-19 00:00:00",0.526,0,
"2024-02-20 00:00:00",0.635,0,
"2024-02-21 00:00:00",0.831,0,
"2024-02-22 00:00:00",0.872,0,
"2024-02-23 00:00:00",0.734,0,
"2024-02-24 00:00:00",0.749,0,
"2024-02-25 00:00:00",1.016,0,
"2024-02-26 00:00:00",1.119,0,
"2024-02-27 00:00:00",0.698,0,
"2024-02-28 00:00:00",0.505,0,
"2024-02-29 00:00:00",0.547,0.3,
"2024-03-01 00:00:00",0.637,0,
"2024-03-02 00:00:00",1.035,0,
"2024-03-03 00:00:00",1.094,0,
"2024-03-04 00:00:00",1.104,9.9,
"2024-03-05 00:00:00",0.88,3.5,
"2024-03-06 00:00:00",0.986,0,
"2024-03-07 00:00:00",0.878,3.1,
"2024-03-08 00:00:00",0.593,4.5,
"2024-03-09 00:00:00",0.812,0,
"2024-03-10 00:00:00",0.893,0,
"2024-03-11 00:00:00",1.161,0,
"2024-03-12 00:00:00",1.222,0,
"2024-03-13 00:00:00",1.478,0,
"2024-03-14 00:00:00",1.514,1.3,
"2024-03-15 00:00:00",0.775,0.6,
"2024-03-16 00:00:00",0.793,28.3,
"2024-03-17 00:00:00",0.917,1.1,
"2024-03-18 00:00:00",1.225,0,
"2024-03-19 00:00:00",1.215,0,
"2024-03-20 00:00:00",1.241,0,
"2024-03-21 00:00:00",0.691,40.4,
"2024-03-22 00:00:00",0.94,0.4,
"2024-03-23 00:00:00",1.318,0,
"2024-03-24 00:00:00",1.406,4.2,
"2024-03-25 00:00:00",1.131,26.9,
"2024-03-26 00:00:00",1.38,0,
"2024-03-27 00:00:00",1.347,0,
"2024-03-28 00:00:00",1.641,0,
"2024-03-29 00:00:00",2.186,0,
"2024-03-30 00:00:00",1.742,0,
"2024-03-31 00:00:00",1.626,0,
"2024-04-01 00:00:00",1.597,0.9,
"2024-04-02 00:00:00",1.183,0,
"2024-04-03 00:00:00",1.953,0,
"2024-04-04 00:00:00",1.793,0,
"2024-04-05 00:00:00",2.446,0,
"2024-04-06 00:00:00",2.501,0,
"2024-04-07 00:00:00",2.124,0,
"2024-04-08 00:00:00",2.004,107,
"2024-04-09 00:00:00",0.657,81.5,
"2024-04-10 00:00:00",0.572,23.3,
"2024-04-11 00:00:00",2.078,0,
"2024-04-12 00:00:00",2.222,0,
"2024-04-13 00:00:00",2.545,0,
"2024-04-14 00:00:00",2.154,0,
"2024-04-15 00:00:00",1.984,0,
"2024-04-16 00:00:00",1.767,1,
"2024-04-17 00:00:00",1.867,0,
"2024-04-18 00:00:00",2.287,0,
"2024-04-19 00:00:00",1.563,1.2,
"2024-04-20 00:00:00",0.6,24.3,
"2024-04-21 00:00:00",1.717,0,
"2024-04-22 00:00:00",2.005,0,
"2024-04-23 00:00:00",2.061,0,
"2024-04-24 00:00:00",2.07,0,
"2024-04-25 00:00:00",2.033,0,
"2024-04-26 00:00:00",2.185,0,
"2024-04-27 00:00:00",3.006,0,
"2024-04-28 00:00:00",1.198,55.5,
"2024-04-29 00:00:00",2.263,0,
"2024-04-30 00:00:00",2.612,0,
"2024-05-01 00:00:00",2.308,16.6,
"2024-05-02 00:00:00",1.875,10.2,
"2024-05-03 00:00:00",1.933,0,
"2024-05-04 00:00:00",2.19,55,
"2024-05-05 00:00:00",2,3.9,
"2024-05-06 00:00:00",2.36,0,
"2024-05-07 00:00:00",2.774,0,
"2024-05-08 00:00:00",2.381,0,
"2024-05-09 00:00:00",2.035,0.3,
"2024-05-10 00:00:00",2.964,0,
"2024-05-11 00:00:00",2.295,4.4,
"2024-05-12 00:00:00",0.905,43.9,
"2024-05-13 00:00:00",2.063,0,
"2024-05-14 00:00:00",3.045,0,
"2024-05-15 00:00:00",3.216,0,
"2024-05-16 00:00:00",1.495,16.4,
"2024-05-17 00:00:00",2.693,0,
"2024-05-18 00:00:00",3.159,0,
"2024-05-19 00:00:00",3.343,0,
"2024-05-20 00:00:00",3.588,0,
"2024-05-21 00:00:00",3.533,0,
"2024-05-22 00:00:00",2.639,10.9,
"2024-05-23 00:00:00",2.042,9.3,
"2024-05-24 00:00:00",3.008,3.3,
"2024-05-25 00:00:00",3.374,0,
"2024-05-26 00:00:00",3.5,0,
"2024-05-27 00:00:00",4.012,3.5,
"2024-05-28 00:00:00",2.081,23.2,
"2024-05-29 00:00:00",3.302,2.5,
"2024-05-30 00:00:00",2.65,51.9,
"2024-05-31 00:00:00",3.1,1.9,
"2024-06-01 00:00:00",3.378,5.2,
"2024-06-02 00:00:00",3.712,56.2,
"2024-06-03 00:00:00",3.591,0.8,
"2024-06-04 00:00:00",3.698,32.8,
"2024-06-05 00:00:00",3.97,7.6,
"2024-06-06 00:00:00",5.527,0,
"2024-06-07 00:00:00",5.59,0,
"2024-06-08 00:00:00",6.097,0,
"2024-06-09 00:00:00",5.795,0,
"2024-06-10 00:00:00",4.149,15.7,
"2024-06-11 00:00:00",4.058,0.9,
"2024-06-12 00:00:00",4.547,0,
"2024-06-13 00:00:00",5.571,0,
"2024-06-14 00:00:00",5.822,0,
"2024-06-15 00:00:00",5.612,0,
"2024-06-16 00:00:00",5.406,0,
"2024-06-17 00:00:00",5.801,0,
"2024-06-18 00:00:00",5.089,0,
"2024-06-19 00:00:00",3.506,0.4,
"2024-06-20 00:00:00",4.461,0,
"2024-06-21 00:00:00",4.588,0,
"2024-06-22 00:00:00",4.856,0,
"2024-06-23 00:00:00",4.958,0,
"2024-06-24 00:00:00",5.048,0,
"2024-06-25 00:00:00",4.986,0,
"2024-06-26 00:00:00",4.305,2.8,
"2024-06-27 00:00:00",4.12,0,
"2024-06-28 00:00:00",4.972,0,
"2024-06-29 00:00:00",4.889,0,
"2024-06-30 00:00:00",4.256,0,
"2024-07-01 00:00:00",4.157,0,
"2024-07-02 00:00:00",4.369,0,
"2024-07-03 00:00:00",4.224,0,
"2024-07-04 00:00:00",3.919,0,
"2024-07-05 00:00:00",3.262,0.5,
"2024-07-06 00:00:00",3.47,0,
"2024-07-07 00:00:00",2.798,16.1,
"2024-07-08 00:00:00",0.933,53.3,
"2024-07-09 00:00:00",3.318,0,
"2024-07-10 00:00:00",3.319,0,
"2024-07-11 00:00:00",3.32,0,
"2024-07-12 00:00:00",3.114,0,
"2024-07-13 00:00:00",2.855,0,
"2024-07-14 00:00:00",3.531,0,
"2024-07-15 00:00:00",3.948,0,
"2024-07-16 00:00:00",4.001,0,
"2024-07-17 00:00:00",3.274,73.9,
"2024-07-18 00:00:00",2.496,0.4,
"2024-07-19 00:00:00",3.068,0,
"2024-07-20 00:00:00",3.017,0,
"2024-07-21 00:00:00",2.602,3.3,
"2024-07-22 00:00:00",1.718,13.8,
"2024-07-23 00:00:00",1.302,18.4,
"2024-07-24 00:00:00",2.813,8.4,
"2024-07-25 00:00:00",1.615,3,
"2024-07-26 00:00:00",2.554,0.4,
"2024-07-27 00:00:00",3.232,0,
"2024-07-28 00:00:00",3.285,0.7,
"2024-07-29 00:00:00",3.652,0,
"2024-07-30 00:00:00",3.861,0,
"2024-07-31 00:00:00",3.915,0,
"2024-08-01 00:00:00",3.758,0,
"2024-08-02 00:00:00",3.655,0,
"2024-08-03 00:00:00",3.5,0,
"2024-08-04 00:00:00",3.501,0,
"2024-08-05 00:00:00",3.397,0,
"2024-08-06 00:00:00",3.45,0,
"2024-08-07 00:00:00",3.399,0,
"2024-08-08 00:00:00",3.609,0,
"2024-08-09 00:00:00",3.558,0,
"2024-08-10 00:00:00",3.507,0,
"2024-08-11 00:00:00",3.56,0,
"2024-08-12 00:00:00",3.666,0,
"2024-08-13 00:00:00",3.772,0,
"2024-08-14 00:00:00",3.826,0,
"2024-08-15 00:00:00",3.814,0,
"2024-08-16 00:00:00",3.79,0,
"2024-08-17 00:00:00",3.34,0,
"2024-08-18 00:00:00",3.221,0,
"2024-08-19 00:00:00",3.057,0,
"2024-08-20 00:00:00",2.932,0,
"2024-08-21 00:00:00",2.913,0,
"2024-08-22 00:00:00",2.599,0,
"2024-08-23 00:00:00",2.106,2.8,
"2024-08-24 00:00:00",2.346,0,
"2024-08-25 00:00:00",2.267,1,
"2024-08-26 00:00:00",2.077,0,
"2024-08-27 00:00:00",2.176,2.1,
"2024-08-28 00:00:00",2.314,3.3,
"2024-08-29 00:00:00",1.813,5.5,
"2024-08-30 00:00:00",2.14,0,
"2024-08-31 00:00:00",1.933,0,
"2024-09-01 00:00:00",1.764,0.4,
"2024-09-02 00:00:00",1.864,1.8,
"2024-09-03 00:00:00",1.804,0,
"2024-09-04 00:00:00",1.784,0,
"2024-09-05 00:00:00",1.722,0,
"2024-09-06 00:00:00",1.782,0,
"2024-09-07 00:00:00",2.681,0,
"2024-09-08 00:00:00",2.577,0,
"2024-09-09 00:00:00",2.552,0,
"2024-09-10 00:00:00",2.614,0,
"2024-09-11 00:00:00",1.984,3.9,
"2024-09-12 00:00:00",1.935,0.8,
"2024-09-13 00:00:00",2.461,0,
"2024-09-14 00:00:00",2.762,0,
"2024-09-15 00:00:00",2.821,0,
"2024-09-16 00:00:00",2.642,0,
"2024-09-17 00:00:00",2.515,0,
"2024-09-18 00:00:00",2.536,0,
"2024-09-19 00:00:00",2.653,0,
"2024-09-20 00:00:00",2.624,0,
"2024-09-21 00:00:00",2.83,0,
"2024-09-22 00:00:00",2.798,2.3,
"2024-09-23 00:00:00",1.475,1.9,
"2024-09-24 00:00:00",1.959,12.2,
"2024-09-25 00:00:00",1.531,1.8,
"2024-09-26 00:00:00",2.135,0,
"2024-09-27 00:00:00",2.329,0,
"2024-09-28 00:00:00",2.431,0,
"2024-09-29 00:00:00",2.058,0,
"2024-09-30 00:00:00",1.778,0,
"2024-10-01 00:00:00",2.123,0,
"2024-10-02 00:00:00",2.039,0,
"2024-10-03 00:00:00",1.997,0,
"2024-10-04 00:00:00",1.913,0,
"2024-10-05 00:00:00",1.83,0,
"2024-10-06 00:00:00",1.788,0,
"2024-10-07 00:00:00",1.948,0,
"2024-10-08 00:00:00",1.865,0,
"2024-10-09 00:00:00",1.783,0,
"2024-10-10 00:00:00",2.015,0,
"2024-10-11 00:00:00",2.124,0,
"2024-10-12 00:00:00",2.352,0,
"2024-10-13 00:00:00",2.418,0,
"2024-10-14 00:00:00",1.656,0,
"2024-10-15 00:00:00",2.117,0,
"2024-10-16 00:00:00",1.793,0,
"2024-10-17 00:00:00",1.551,0,
"2024-10-18 00:00:00",1.658,0,
"2024-10-19 00:00:00",1.534,0,
"2024-10-20 00:00:00",1.487,0,
"2024-10-21 00:00:00",1.516,0,
"2024-10-22 00:00:00",1.508,0,
"2024-10-23 00:00:00",1.649,0,
"2024-10-24 00:00:00",1.826,0,
"2024-10-25 00:00:00",1.667,0,
"2024-10-26 00:00:00",1.254,0,
"2024-10-27 00:00:00",1.402,0,
"2024-10-28 00:00:00",2.035,0,
"2024-10-29 00:00:00",2.532,0,
"2024-10-30 00:00:00",2.34,13.7,
"2024-10-31 00:00:00",0.94,14.8,
"2024-11-01 00:00:00",1.222,0.4,
"2024-11-02 00:00:00",1.606,1.4,
"2024-11-03 00:00:00",2.187,0.5,
"2024-11-04 00:00:00",1.767,56.7,
"2024-11-05 00:00:00",0.807,0.7,
"2024-11-06 00:00:00",1.355,0,
"2024-11-07 00:00:00",1.135,0,
"2024-11-08 00:00:00",0.805,35.8,
"2024-11-09 00:00:00",1.23,0,
"2024-11-10 00:00:00",1.305,0,
"2024-11-11 00:00:00",1.502,0,
"2024-11-12 00:00:00",1.49,0,
"2024-11-13 00:00:00",1.784,0,
"2024-11-14 00:00:00",1.366,0,
"2024-11-15 00:00:00",1.355,0,
"2024-11-16 00:00:00",1.294,0.4,
"2024-11-17 00:00:00",1.333,12,
"2024-11-18 00:00:00",0.588,4.8,
"2024-11-19 00:00:00",1.408,0,
"2024-11-20 00:00:00",1.637,0,
"2024-11-21 00:00:00",1.433,0,
"2024-11-22 00:00:00",1.231,0,
"2024-11-23 00:00:00",1.455,0,
"2024-11-24 00:00:00",1.583,0,
"2024-11-25 00:00:00",1.061,0,
"2024-11-26 00:00:00",0.961,0,
"2024-11-27 00:00:00",1.682,0,
"2024-11-28 00:00:00",0.994,0,
"2024-11-29 00:00:00",1.078,0,
"2024-11-30 00:00:00",0.892,0,
"2024-12-01 00:00:00",0.88,0,
"2024-12-02 00:00:00",0.874,0,
"2024-12-03 00:00:00",1.086,3.3,
"2024-12-04 00:00:00",0.561,41.1,
"2024-12-05 00:00:00",0.986,0,
"2024-12-06 00:00:00",0.767,1.1,
"2024-12-07 00:00:00",0.381,7.2,
"2024-12-08 00:00:00",0.378,2.8,
"2024-12-09 00:00:00",1.253,0,
"2024-12-10 00:00:00",0.83,0,
"2024-12-11 00:00:00",0.948,0,
"2024-12-12 00:00:00",1.187,0,
"2024-12-13 00:00:00",0.772,4.7,
"2024-12-14 00:00:00",1.09,3.4,
"2024-12-15 00:00:00",1.323,0.6,
"2024-12-16 00:00:00",1.234,0,
"2024-12-17 00:00:00",1.186,1.9,
"2024-12-18 00:00:00",0.746,0.6,
"2024-12-19 00:00:00",0.624,0,
"2024-12-20 00:00:00",1.045,0,
"2024-12-21 00:00:00",0.851,0,
"2024-12-22 00:00:00",1.045,0,
"2024-12-23 00:00:00",1.2,0,
"2024-12-24 00:00:00",0.89,38.9,
"2024-12-25 00:00:00",0.503,0.4,
"2024-12-26 00:00:00",0.464,10.8,
"2024-12-27 00:00:00",1.083,0,
"2024-12-28 00:00:00",0.58,59.7,
"2024-12-29 00:00:00",0.735,0,
"2024-12-30 00:00:00",1.703,0,
"2024-12-31 00:00:00",0.813,0,